Time, Real_Position, Real_Velocity, Learned_Position, Learned_Velocity
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.001000963151454926e-02,1.000000000000000000e+00,-2.002001926302909851e-02,1.000260472297668457e+00,-2.503107488155364990e-02
2.002001926302909851e-02,9.997996091842651367e-01,-3.991979733109474182e-02,1.000212430953979492e+00,-4.988428577780723572e-02
3.003002889454364777e-02,9.994000196456909180e-01,-5.969604849815368652e-02,9.998577833175659180e-01,-7.455303519964218140e-02
4.004003852605819702e-02,9.988024830818176270e-01,-7.934552431106567383e-02,9.991984367370605469e-01,-9.903080761432647705e-02
5.005005002021789551e-02,9.980082511901855469e-01,-9.886502474546432495e-02,9.982363581657409668e-01,-1.233111619949340820e-01
6.006005778908729553e-02,9.970186352729797363e-01,-1.182513833045959473e-01,9.969736933708190918e-01,-1.473877429962158203e-01
7.007006555795669556e-02,9.958349466323852539e-01,-1.375014930963516235e-01,9.954126477241516113e-01,-1.712543219327926636e-01
8.008007705211639404e-02,9.944585561752319336e-01,-1.566122919321060181e-01,9.935554265975952148e-01,-1.949047148227691650e-01
9.009008854627609253e-02,9.928908944129943848e-01,-1.755807548761367798e-01,9.914044141769409180e-01,-2.183328717947006226e-01
1.001001000404357910e-01,9.911333322525024414e-01,-1.944039165973663330e-01,9.889619946479797363e-01,-2.415328174829483032e-01
1.101101040840148926e-01,9.891873598098754883e-01,-2.130788266658782959e-01,9.862307310104370117e-01,-2.644986510276794434e-01
1.201201155781745911e-01,9.870544672012329102e-01,-2.316026240587234497e-01,9.832131862640380859e-01,-2.872246503829956055e-01
1.301301270723342896e-01,9.847361445426940918e-01,-2.499724626541137695e-01,9.799120426177978516e-01,-3.097051382064819336e-01
1.401401311159133911e-01,9.822339415550231934e-01,-2.681855559349060059e-01,9.763301014900207520e-01,-3.319345116615295410e-01
1.501501500606536865e-01,9.795494079589843750e-01,-2.862391769886016846e-01,9.724701046943664551e-01,-3.539073765277862549e-01
1.601601541042327881e-01,9.766841530799865723e-01,-3.041306138038635254e-01,9.683350324630737305e-01,-3.756183087825775146e-01
1.701701581478118896e-01,9.736397862434387207e-01,-3.218572437763214111e-01,9.639278650283813477e-01,-3.970620930194854736e-01
1.801801770925521851e-01,9.704179763793945312e-01,-3.394164741039276123e-01,9.592515826225280762e-01,-4.182336628437042236e-01
1.901901811361312866e-01,9.670203924179077148e-01,-3.568057119846343994e-01,9.543094038963317871e-01,-4.391279220581054688e-01
